,Paper Title,Authors,Description,Tags/Comments,Conference Venue,Year,Paper link,Additional resources
217,Minimax Group Fairness: Algorithms and Experiments,"Emily Diana, Wesley Gill, Michael Kearns, Krishnaram Kenthapadi,  Aaron Roth",,"Testing and Validation-Evaluation Metrics, Measurement (Traditional)",AIES,2021,https://dl.acm.org/doi/10.1145/3461702.3462523,
218,Fairness through computationally-bounded awareness,"Michael Kim, Omer Reingold,  Guy Rothblum",,"Testing and Validation-Evaluation Metrics, Measurement (Traditional)",NeurIPS,2018,https://dl.acm.org/doi/10.5555/3327345.3327393,
219,Equality of Opportunity in Classification: A Causal Approach,"Junzhe Zhang, Elias Bareinboim",,"Testing and Validation-Evaluation Metrics, Measurement (Traditional)",NeurIPS,2018,https://papers.nips.cc/paper_files/paper/2018/hash/ff1418e8cc993fe8abcfe3ce2003e5c5-Abstract.html,
220,The fairness of risk scores beyond classification: bipartite ranking and the xAUC metric,"Nathan Kallus, Angela Zhou",,"Testing and Validation-Evaluation Metrics, Measurement (Traditional)",NeurIPS,2019,https://dl.acm.org/doi/10.5555/3454287.3454596,
221,Model class reliance for random forests,"Gavin Smith, Roberto Mansilla,  James Goulding",,"Testing and Validation-Evaluation Metrics, Measurement (Traditional)",NeurIPS,2020,https://dl.acm.org/doi/10.5555/3495724.3497594,
222,Statistical inference for individual fairness ,"Subha Maity, Songkai Xue, Mikhail Yurochkin,  Yuekai Sun",,"Testing and Validation-Evaluation Metrics, Measurement (Traditional)",ICLR,2021,https://openreview.net/forum?id=z9k8BWL-%5F2u,
223,Generalized Demographic Parity for Group Fairness ,"Zhimeng Jiang, Xiaotian Han, Chao Fan, Fan Yang, Ali Mostafavi,  Xia Hu",,"Testing and Validation-Evaluation Metrics, Measurement (Traditional)",ICLR,2022,https://openreview.net/forum?id=YigKlMJwjye,
224,Measuring Fairness in an Unfair World,Jonathan Herington,,"Testing and Validation-Evaluation Metrics, Measurement (Traditional)",AIES,2020,https://dl.acm.org/doi/10.1145/3375627.3375854,
225,An Axiomatic Theory of Provably-Fair Welfare-Centric Machine Learning,Cyrus Cousins,,"Testing and Validation-Evaluation Metrics, Measurement (Traditional)",NeurIPS,2021,https://proceedings.neurips.cc/paper/2021/hash/8b0bb3eff8c1e5bf7f206125959921d7-Abstract.html,
226,"Counterfactual risk assessments, evaluation, and fairness","Ama Coston, Alan Mishler, Edward H. Kennedy,  Alexra Chouldechova",,"Testing and Validation-Evaluation Metrics, Measurement (Traditional)",FAccT,2020,https://dl.acm.org/doi/10.1145/3351095.3372851,
227,Counterfactual Fairness in Text Classification through Robustness,"Sahaj Garg, Vincent Perot, Nicole Limtiaco, Ankur Taly, Ed H. Chi,  Alex Beutel",,"Testing and Validation-Evaluation Metrics, Measurement (Traditional)",AIES,2019,https://dl.acm.org/doi/10.1145/3306618.3317950,
228,Contrastive Counterfactual Fairness in Algorithmic Decision-Making,"Ece Çiğdem Mutlu, Niloofar Yousefi,  Ozlem Ozmen Garibay",,"Testing and Validation-Evaluation Metrics, Measurement (Traditional)",AIES,2022,https://dl.acm.org/doi/10.1145/3514094.3534143,
229,Evaluating Fairness of Machine Learning Models Under Uncertain and Incomplete Information,"Pranjal Awasthi, Alex Beutel, Matthäus Kleindessner, Jamie Morgenstern,  Xuezhi Wang",,"Testing and Validation-Evaluation Metrics, Measurement",FAccT,2021,https://dl.acm.org/doi/10.1145/3442188.3445884,
230,A Statistical Test for Probabilistic Fairness,"Bahar Taskesen, Jose Blanchet, Daniel Kuhn,  Viet Anh Nguyen",,"Testing and Validation-Evaluation Metrics, Measurement",FAccT,2021,https://dl.acm.org/doi/10.1145/3442188.3445927,
231,An Outcome Test of Discrimination for Ranked Lists,"Jonathan Roth, Guillaume Saint-Jacques,  YinYin Yu",,"Testing and Validation-Evaluation Metrics, Measurement",FAccT,2022,https://dl.acm.org/doi/10.1145/3531146.3533102,
232,Active fairness auditing,"Tom Yan, Chicheng Zhang",,"Testing and Validation-Evaluation Metrics, Measurement",ICML,2022,https://proceedings.mlr.press/v162/yan22c.html,
233,Invariant Representations without Adversarial Training,"Daniel Moyer, Shuyang Gao, Rob Brekelmans, Aram Galstyan,  Greg Ver Steeg",,"Testing and Validation-Evaluation Metrics, Mitigation",NeurIPS,2018,https://papers.nips.cc/paper_files/paper/2018/hash/415185ea244ea2b2bedeb0449b926802-Abstract.html,
234,Causal Multi-level Fairness,"Vishwali Mhasawade, Rumi Chunara",,"Testing and Validation-Evaluation Metrics, Mitigation (Case Study)",AIES,2021,https://dl.acm.org/doi/10.1145/3461702.3462587,
235,From parity to preference-based notions of fairness in classification,"Muhammad Bilal Zafar, Isabel Valera, Manuel Rodriguez, Krishna Gummadi,  Adrian Weller",,"Testing and Validation-Evaluation Metrics, Mitigation (Case Study)",NeurIPS,2017,https://dl.acm.org/doi/abs/10.5555/3294771.3294793,
236,Avoiding discrimination through causal reasoning,"Niki Kilbertus, Mateo Rojas Carulla, Giambattista Parascolo, Moritz Hardt, Dominik Janzing,  Bernhard Schölkopf",,"Testing and Validation-Evaluation Metrics, Mitigation (Case Study)",NeurIPS,2017,https://dl.acm.org/doi/10.5555/3294771.3294834,
237,From Soft Classifiers to Hard Decisions: How fair can we be?,"Ran Canetti, Aloni Cohen, Nishanth Dikkala, Govind Ramnarayan, Sarah Scheffler,  Adam Smith",,"Testing and Validation-Evaluation Metrics, Mitigation (Case Study)",FAccT,2019,https://dl.acm.org/doi/10.1145/3287560.3287561,
238,Leveraging Labeled and Unlabeled Data for Consistent Fair Binary Classification,"Evgenii Chzhen, Christophe Denis, Mohamed Hebiri, Luca Oneto,  Massimiliano Pontil",,"Testing and Validation-Evaluation Metrics, Mitigation (Case Study)",NeurIPS,2019,https://proceedings.neurips.cc/paper_files/paper/2019/hash/ba51e6158bcaf80fd0d834950251e693-Abstract.html,
239,Envy-Free Classification,"Maria-Florina F Balcan, Travis Dick, Ritesh Noothigattu,  Ariel D Procaccia",,"Testing and Validation-Evaluation Metrics, Mitigation (Case Study)",NeurIPS,2019,https://papers.nips.cc/paper_files/paper/2019/hash/e94550c93cd70fe748e6982b3439ad3b-Abstract.html,
240,Fairness with Overlapping Groups; a Probabilistic Perspective,"Forest Yang, Mouhamadou Cisse,  Sanmi Koyejo",,"Testing and Validation-Evaluation Metrics, Mitigation (Case Study)",NeurIPS,2020,https://proceedings.neurips.cc/paper/2020/hash/29c0605a3bab4229e46723f89cf59d83-Abstract.html,
241,"Classification Under Misspecification: Halfspaces, Generalized Linear Models, and Evolvability","Sitan Chen, Frederic Koehler, Ankur Moitra,  Morris Yau",,"Testing and Validation-Evaluation Metrics, Mitigation (Case Study)",NeurIPS,2020,https://proceedings.neurips.cc/paper/2020/hash/5f8b73c0d4b1bf60dd7173b660b87c29-Abstract.html,
242,Incorporating Interpretable Output Constraints in Bayesian Neural Networks,"Wanqian Yang, Lars Lorch, Moritz Graule, Himabindu Lakkaraju,  Finale Doshi-Velez",,"Testing and Validation-Evaluation Metrics, Mitigation (Case Study)",NeurIPS,2020,https://proceedings.neurips.cc/paper_files/paper/2020/hash/95c7dfc5538e1ce71301cf92a9a96bd0-Abstract.html,
243,Efficient Mirror Descent Ascent Methods for Nonsmooth Minimax Problems,"Feihu Huang, Xidong Wu,  Heng Huang",,"Testing and Validation-Evaluation Metrics, Mitigation (Case Study)",NeurIPS,2021,https://openreview.net/forum?id=3EuMT2Lqn4q,
244,Scalable and Stable Surrogates for Flexible Classifiers with Fairness Constraints,"Henry C Bendekgey, Erik Sudderth",,"Testing and Validation-Evaluation Metrics, Mitigation (Case Study)",NeurIPS,2021,https://proceedings.neurips.cc/paper/2021/hash/fc2e6a440b94f64831840137698021e1-Abstract.html,
245,Design of Experiments for Model Discrimination Hybridising Analytical and Data-Driven Approaches,"Simon Olofsson, Marc Deisenroth,  Ruth Misener",,"Testing and Validation-General, Problem Identification (Case Study)",ICML,2018,https://proceedings.mlr.press/v80/olofsson18a.html,
246,Testing Group Fairness via Optimal Transport Projections,"Nian Si, Karthyek Murthy, Jose Blanchet,  Viet Anh Nguyen",,"Testing and Validation-General, Problem Identification",ICML,2021,https://proceedings.mlr.press/v139/si21a.html,
247,De-biasing “bias” measurement,"Kristian Lum, Yunfeng Zhang,  Ama Bower",,"Testing and Validation-General, Measurement",FAccT,2022,https://dl.acm.org/doi/abs/10.1145/3531146.3533105,
248,"AI Fairness 360: An Extensible Toolkit for Detecting, Understanding, and Mitigating Unwanted Algorithmic Bias","Rachel K. E. Bellamy, Kuntal Dey, Michael Hind, Samuel C. Hoffman, Stephanie Houde, Kalapriya Kannan, Pranay Lohia, Jacquelyn Martino, Sameep Mehta, Aleksra Mojsilovic, Seema Nagar, Karthikeyan Natesan Ramamurthy, John Richards, Diptikalyan Saha, Prasanna Sattigeri, Moninder Singh, Kush R. Varshney, Yunfeng Zhang",,"Testing and Validation-General, Measurement",,2018,https://arxiv.org/abs/1810.01943,
249,Amazon SageMaker Clarify: Machine Learning Bias Detection and Explainability in the Cloud,"Michaela Hardt, Xiaoguang Chen, Xiaoyi Cheng, Michele Donini, Jason Gelman, Satish Gollaprolu, John He, Pedro Larroy, Xinyu Liu, Nick McCarthy, Ashish Rathi, Scott Rees, Ankit Siva, ErhYuan Tsai, Keerthan Vasist, Pinar Yilmaz, Muhammad Bilal Zafar, Sanjiv Das, Kevin Haas, Tyler Hill, Krishnaram Kenthapadi",,"Testing and Validation-General, Measurement",,2021,https://arxiv.org/abs/2109.03285,
250,Data and its (dis)contents: A survey of dataset development and use in machine learning research,"Amalynne Paullada, Inioluwa Deborah Raji, Emily M Bender, Emily Denton,  Alex Hanna",,"Testing and Validation-General, Measurement",Patterns,2021,https://www.sciencedirect.com/science/article/pii/S2666389921001847,
251,Aequitas: A Bias and Fairness Audit Toolkit,"Pedro Saleiro, Benedict Kuester, Loren Hinkson, Jesse London, Abby Stevens, Ari Anisfeld, Kit T Rodolfa,  Rayid Ghani.",,"Testing and Validation-General, Measurement",,2018,https://arxiv.org/abs/1811.05577,
252,Preference-informed fairness,"Michael P. Kim, Aleksra Korolova, Guy N. Rothblum,  Gal Yon",,"Testing and Validation-General, Measurement (Traditional)",FAccT,2020,https://dl.acm.org/doi/10.1145/3351095.3373155,
253,Fair Transfer Learning with Missing Protected Attributes,"Ama Coston, Karthikeyan Natesan Ramamurthy, Dennis Wei, Kush R. Varshney, Skyler Speakman, Zairah Mustahsan,  Supriyo Chakraborty",,"Testing and Validation-General/Deployment and Integration-General, Mitigation",AIES,2019,https://dl.acm.org/doi/10.1145/3306618.3314236,
254,Measuring and Mitigating Unintended Bias in Text Classification,"Lucas Dixon, John Li, Jeffrey Sorensen, Nithum Thain,  Lucy Vasserman",,"Testing and Validation-General, Mitigation",AIES,2018,https://dl.acm.org/doi/10.1145/3278721.3278729,
255,FairFil: Contrastive Neural Debiasing Method for Pretrained Text Encoders ,"Pengyu Cheng, Weituo Hao, Siyang Yuan, Shijing Si,  Lawrence Carin",,"Testing and Validation-General, Mitigation",ICLR,2021,https://openreview.net/forum?id=N6JECD-PI5w,
256,Repairing without Retraining: Avoiding Disparate Impact with Counterfactual Distributions,"Hao Wang, Berk Ustun,  Flavio Calmon",,"Testing and Validation-General, Mitigation",ICML,2022,https://proceedings.mlr.press/v97/wang19l.html,
257,How machine-learning recommendations influence clinician treatment selections: the example of antidepressant selection,"Maia Jacobs, Melanie F Pradier, Thomas H McCoy Jr, Roy H Perlis, Finale Doshi-Velez,  Krzysztof Z Gajos",,"Deployment and Integration-Human/Computer Handoff, Problem Identification (Case Study)",Nature Translational Psychiatry,2021,https://www.nature.com/articles/s41398-021-01224-x,
258,Towards Unbiased and Accurate Deferral to Multiple Experts,"Vijay Keswani, Matthew Lease,  Krishnaram Kenthapadi",,"Deployment and Integration-Human/Computer Handoff, Problem Identification",AIES,2021,https://dl.acm.org/doi/10.1145/3461702.3462516,
259,Disparate Interactions: An Algorithm-in-the-Loop Analysis of Fairness in Risk Assessments,"Ben Green, Yiling Chen",,"Deployment and Integration-Human/Computer Handoff/General, Problem Identification",FAccT,2019,https://dl.acm.org/doi/10.1145/3287560.3287563,
260,On the Fairness of Machine-Assisted Human Decisions,"Bryce McLaughlin, Jann Spiess,  Talia Gillis",,"Deployment and Integration-Human/Computer Handoff, Problem Identification",FAccT,2022,https://dl.acm.org/doi/10.1145/3531146.3533152,
261,Human-algorithm collaboration: Achieving complementarity and avoiding unfairness,"Kate Donahue, Alexra Chouldechova,  Krishnaram Kenthapadi",,"Deployment and Integration-Human/Computer Handoff, Problem Identification",FAccT,2022,https://dl.acm.org/doi/10.1145/3531146.3533221,
262,"Race, Gender and Beauty: The Effect of Information Provision on Online Hiring Biases","Weiwen Leung, Zheng Zhang, Daviti Jibuti, Jinhao Zhao, Maximilian Klein, Casey Pierce, Lionel Robert,  Haiyi Zhu",,"Deployment and Integration-Human/Computer Handoff, Problem Identification",CHI,2020,https://dl.acm.org/doi/10.1145/3313831.3376874,
263,Not Just a Preference: Reducing Biased Decision-making on Dating Websites,"Zilin Ma, Krzysztof Z. Gajos",,"Deployment and Integration-Human/Computer Handoff, Problem Identification",CHI,2022,https://dl.acm.org/doi/10.1145/3491102.3517587,
264,"Took a Pic and Got Declined, Vexed and Perplexed: Facial Recognition in Algorithmic Management",Elizabeth Anne Watkins,,"Deployment and Integration-Human/Computer Handoff, Problem Identification",CSCW,2020,https://dl.acm.org/doi/10.1145/3406865.3418383,
265,How Child Welfare Workers Reduce Racial Disparities in Algorithmic Decisions,"Hao-Fei Cheng, Logan Stapleton, Anna Kawakami, Venkatesh Sivaraman, Yanghuidi Cheng, Diana Qing, Adam Perer, Kenneth Holstein, Zhiwei Steven Wu,  Haiyi Zhu",,"Deployment and Integration-Human/Computer Handoff, Measurement",CHI,2022,https://dl.acm.org/doi/10.1145/3491102.3501831,
266,Data-Centric Explanations: Explaining Training Data of Machine Learning Systems to Promote Transparency,"Ariful Islam Anik, Andrea Bunt",,"Deployment and Integration-Human/Computer Handoff, Mitigation",CHI,2021,https://dl.acm.org/doi/10.1145/3411764.3445736,
267,Fairness-Aware Programming,"Aws Albarghouthi, Samuel Vinitsky",,"Deployment and Integration-Maintenance Oversight, Measurement",FAccT,2019,https://dl.acm.org/doi/10.1145/3287560.3287588,
268,"""The human body is a black box"": supporting clinical decision-making with deep learning","Mark Sendak, Madeleine Clare Elish, Michael Gao, Joseph Futoma, William Ratliff, Marshall Nichols, Armo Bedoya, Suresh Balu,  Cara O’Brien",,"Deployment and Integration-General, Problem Identification (Case Study)",FAccT,2020,https://dl.acm.org/doi/10.1145/3351095.3372827,
269,The impact of overbooking on a pre-trial risk assessment tool,"Kristian Lum, Chesa Boudin,  Megan Price",,"Deployment and Integration-General, Problem Identification (Case Study)",FAccT,2020,https://dl.acm.org/doi/10.1145/3351095.3372846,
270,Long-term Dynamics of Fairness Intervention in Connection Recommender Systems,"Nil-Jana Akpinar, Cyrus DiCiccio, Preetam Ny,  Kinjal Basu",,"Deployment and Integration-General, Problem Identification",AIES,2022,https://dl.acm.org/doi/10.1145/3514094.3534173,
271,Designing Fair AI in Human Resource Management: Understanding Tensions Surrounding Algorithmic Evaluation and Envisioning Stakeholder-Centered Solutions,"Hyanghee Park, Daehwan Ahn, Kartik Hosanagar,  Joonhwan Lee",,"Deployment and Integration-General, Problem Identification",CHI,2022,https://dl.acm.org/doi/10.1145/3491102.3517672,
272,Co-Designing Checklists to Understand Organizational Challenges and Opportunities around Fairness in AI,"Michael A Madaio, Luke Stark, Jennifer Wortman Vaughan,  Hanna Wallach",,"Deployment and Integration-General, Problem Identification",CHI,2020,https://dl.acm.org/doi/10.1145/3313831.3376445,
273,The Principles and Limits of Algorithm-in-the-Loop Decision Making,"Ben Green, Yiling Chen",,"Deployment and Integration-General, Problem Identification",CSCW,2019,https://dl.acm.org/doi/10.1145/3359152,
274,How Child Welfare Workers Reduce Racial Disparities in Algorithmic Decisions,"Hao-Fei Cheng, Logan Stapleton, Anna Kawakami, Venkatesh Sivaraman, Yanghuidi Cheng, Diana Qing, Adam Perer, Kenneth Holstein, Zhiwei Steven Wu,  Haiyi Zhu",,"Deployment and Integration-General, Problem Identification",CHI,2022,https://dl.acm.org/doi/10.1145/3491102.3501831,
275,A Case for Humans-in-the-Loop: Decisions in the Presence of Erroneous Algorithmic Scores,"Maria De-Arteaga, Riccardo Fogliato,  Alexra Chouldechova",,"Deployment and Integration-General, Problem Identification",CHI,2020,https://dl.acm.org/doi/10.1145/3313831.3376638,
276,FairCanary: Rapid Continuous Explainable Fairness,"Avijit Ghosh, Aalok Shanbhag,  Christo Wilson",,"Deployment and Integration-General, Measurement",AIES,2022,https://dl.acm.org/doi/10.1145/3514094.3534157,
277,Fairness Guarantees under Demographic Shift,"Stephen Giguere, Blossom Metevier, Yuriy Brun, Philip S. Thomas, Scott Niekum,  Bruno Castro da Silva",,"Deployment and Integration-General, Measurement",ICLR,2022,https://openreview.net/forum?id=wbPObLm6ueA,
278,Fairness warnings and fair-MAML: learning fairly with minimal data,"Dylan Slack, Sorelle A. Friedler,  Emile Givental",,"Deployment and Integration-General, Measurement",FAccT,2020,https://dl.acm.org/doi/10.1145/3351095.3372839,
279,Models for understanding and quantifying feedback in societal systems,"Lydia Reader, Pegah Nokhiz, Cathleen Power, Neal Patwari, Suresh Venkatasubramanian,  Sorelle Friedler",,"Deployment and Integration-General, Measurement",FAccT,2022,https://dl.acm.org/doi/10.1145/3531146.3533230,
280,Towards Non-Parametric Drift Detection via Dynamic Adapting Window Independence Drift Detection (DAWIDD),"Fabian Hinder, André Artelt,  Barbara Hammer",,"Deployment and Integration-General, Measurement",ICML,2020,https://proceedings.mlr.press/v119/hinder20a.html,
281,Ensuring Fairness under Prior Probability Shifts,"Arpita Biswas, Suvam Mukherjee",,"Deployment and Integration-General, Measurement",AIES,2021,https://dl.acm.org/doi/abs/10.1145/3461702.3462596,
282,Bidding strategies with gender nondiscrimination constraints for online ad auctions,"Milad Nasr, Michael Carl Tschantz",,"Deployment and Integration-General, Mitigation",FAccT,2020,https://dl.acm.org/doi/10.1145/3351095.3375783,
283,ABCinML: Anticipatory Bias Correction in Machine Learning Applications,"Abdulaziz A. Almuzaini, Chidansh A. Bhatt, David M. Pennock,  Vivek K. Singh",,"Deployment and Integration-General, Mitigation",FAccT,2022,https://dl.acm.org/doi/10.1145/3531146.3533211,
284,Active Fairness in Algorithmic Decision Making,"Alejro Noriega-Campero, Michiel A. Bakker, Bernardo Garcia-Bulle,  Alex ’Sy’ Pentl.",,"Deployment and Integration-General, Mitigation",AIES,2019,https://dl.acm.org/doi/10.1145/3306618.3314277,
285,A Framework for Understanding Sources of Harm throughout the Machine Learning Life Cycle,"Harini Suresh, John Guttag",,"Deployment and Integration-General, Mitigation",EAAMO,2021,https://dl.acm.org/doi/fullHtml/10.1145/3465416.3483305,
286,Predict responsibly: improving fairness and accuracy by learning to defer,"David Madras, Toni Pitassi,  Richard Zemel",,"Deployment and Integration-General, Mitigation",NeurIPS,2018,https://dl.acm.org/doi/10.5555/3327345.3327513,
